product_name,brand_parent_company,product_brand,product_type,marketed_gender,retailer,size,size_measurement,count,price,price_per_unit,url,ingrediants
Schick Hydro Silk Disposable Razors,Edgewell Personal Care,Schick,Razor,F,Walgreens,,,3,12.29,4.096666667,https://www.walgreens.com/store/c/schick-hydro-silk-disposable-razors/ID=prod6182731-product,
Schick Xtreme 5 Precision Trim Disposable Razors,Edgewell Personal Care,Schick,Razor,M,Walgreens,,,2,8.49,4.245,https://www.walgreens.com/store/c/schick-xtreme-5-precision-trim-disposable-razors/ID=300403328-product,
Gillette Venus Extra Smooth Pink Women's Razor Handle + 2 Blade Refills,Proctor & Gamble,Gillette,Razor,F,Walgreens,,,1,17.49,17.49,https://www.walgreens.com/store/c/gillette-venus-extra-smooth-pink-women's-razor-handle---2-blade-refills/ID=prod6013610-product,
Gillette Fusion Razor Handle + 2 Refills,Proctor & Gamble,Gillette,Razor,M,Walgreens,,,1,13.29,13.29,https://www.walgreens.com/store/c/gillette-fusion-razor-handle---2-refills/ID=prod6356853-product,
Gillette Venus Comfortglide Women's Razor Blade Refills Freesia,Proctor & Gamble,Gillette,Razor Cartridges,F,Walgreens,,,6,24.99,4.165,https://www.walgreens.com/store/c/gillette-venus-comfortglide-women's-razor-blade-refills-freesia/ID=prod5693220-product,
Gillette 3 Men's Razor Blade Refills,Proctor & Gamble,Gillette,Razor Cartridges,M,Walgreens,,,8,15.99,1.99875,https://www.walgreens.com/store/c/gillette-3-men's-razor-blade-refills/ID=prod6374687-product,
"Schick Hydro Silk 5 Sensitive Care Women's Razor Blade Refills, 4 Ct",Edgewell Personal Care,Schick,Razor Cartridges,F,Walmart,,,4,20.99,5.2475,https://www.walmart.com/ip/Schick-Hydro-Silk-5-Sensitive-Care-Women-s-Razor-Blade-Refills-4-Ct/34754457,
"Schick Hydro 5-Blade Skin Comfort Dry Skin Men's Razor Blade Refill, 4 Ct, Mens Razor, Specially Formulated For Dry Skin",Edgewell Personal Care,Schick,Razor Cartridges,M,Walmart,,,4,19.99,4.9975,https://www.walmart.com/ip/Schick-Hydro-5-Blade-Skin-Comfort-Dry-Skin-Men-s-Razor-Blade-Refill-4-Ct-Mens-Razor-Specially-Formulated-For-Dry-Skin/16627636?athbdg=L1300,
"Schick Quattro For Women Women's Razor Blade Refills, 10 Ct",Edgewell Personal Care,Schick,Razor Cartridges,F,Walmart,,,10,31.99,3.199,https://www.walmart.com/ip/Schick-Quattro-For-Women-Women-s-Razor-Blade-Refills-10-Ct/148950781,
"Schick Quattro Titanium Men's Razor Blade Refills, 6 Count",Edgewell Personal Care,Schick,Razor Cartridges,M,Walmart,,,6,11.07,1.845,https://www.walmart.com/ip/Schick-Quattro-Titanium-Men-s-Razor-Blade-Refills-6-Count/49607004,
